Country;CPI score 2020;Rank 2020;Sources 2020;Standard error 2020;FREE;Political Rights RATING;Civil Liberties RATING;C1: Do the freely elected head of government and national legislative representatives determine the policies of the government;C2: Are safeguards against official corruption strong and effective?;C3: Does the government operate with openness and transparency?;C: FUNCTIONING OF GOVERNMENT;F1: Is there an independent judiciary?;;;;;;;;;;;;
Haiti;18;170;6;2,47;PF;5;5;1;1;2;4;1;;;;;;;;;;;;
Honduras;24;157;7;1,52;PF;4;4;2;1;1;4;1;;;;;;;;;;;;
Hong Kong;77;11;8;1,79;PF;5;3;1;3;2;6;2;;;;;;;;;;;;
Hungary;44;69;10;1,27;PF;3;3;3;2;2;7;2;;;;;;;;;;;;
Iceland;75;17;7;3,86;F;1;1;4;3;3;10;4;;;;;;;;;;;;
India;40;86;9;1,14;F;2;3;4;2;3;9;3;;;;;;;;;;;;
Indonesia;37;102;9;1,71;PF;2;4;3;1;2;6;2;;;;;;;;;;;;
Iran;25;149;7;2,56;NF;6;6;1;0;1;2;1;;;;;;;;;;;;
Iraq;21;160;5;2,52;NF;5;6;1;0;1;2;0;;;;;;;;;;;;
Ireland;72;20;7;2,15;F;1;1;4;3;4;11;4;;;;;;;;;;;;
Israel;60;35;7;1,34;F;2;3;3;2;3;8;4;;;;;;;;;;;;
Italy;53;52;8;2,11;F;1;1;4;3;3;10;3;;;;;;;;;;;;
Jamaica;44;69;7;3,34;F;2;2;4;3;2;9;3;;;;;;;;;;;;
Japan;74;19;9;2,02;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Jordan;49;60;8;2,20;PF;5;5;0;2;1;3;2;;;;;;;;;;;;
Kazakhstan;38;94;9;3,12;NF;7;5;0;1;0;1;1;;;;;;;;;;;;
Kenya;31;124;9;1,49;PF;4;4;2;1;2;5;2;;;;;;;;;;;;
Kosovo;36;104;6;0,68;PF;3;4;2;1;2;5;1;;;;;;;;;;;;
Kuwait;42;78;6;1,88;PF;5;5;1;1;2;4;1;;;;;;;;;;;;
Kyrgyzstan;31;124;7;1,28;PF;5;4;1;1;2;4;1;;;;;;;;;;;;
Laos;29;134;5;3,95;NF;7;6;0;1;1;2;0;;;;;;;;;;;;
Latvia;57;42;9;1,92;F;1;2;4;3;3;10;3;;;;;;;;;;;;
Lebanon;25;149;7;1,15;PF;5;4;1;0;1;2;1;;;;;;;;;;;;
Lesotho;41;83;6;3,24;PF;3;3;2;2;2;6;2;;;;;;;;;;;;
Liberia;28;137;7;2,01;PF;3;4;3;2;2;7;1;;;;;;;;;;;;
Libya;17;173;5;1,72;NF;7;6;0;0;0;0;0;;;;;;;;;;;;
Lithuania;60;35;9;1,34;F;1;1;4;3;3;10;3;;;;;;;;;;;;
Luxembourg;80;9;7;1,50;F;1;1;4;3;3;10;4;;;;;;;;;;;;
Madagascar;25;149;8;1,51;PF;3;3;2;2;2;6;2;;;;;;;;;;;;
Malawi;30;129;9;1,16;PF;3;3;3;1;2;6;3;;;;;;;;;;;;
Malaysia;51;57;9;1,62;PF;4;4;2;2;2;6;2;;;;;;;;;;;;
Maldives;43;75;3;7,69;PF;4;5;2;1;1;4;1;;;;;;;;;;;;
Mali;30;129;8;1,50;PF;5;5;2;1;1;4;2;;;;;;;;;;;;
Malta;53;52;6;1,42;F;2;1;4;2;3;9;4;;;;;;;;;;;;
Mauritania;29;134;6;1,60;PF;5;5;1;2;1;4;1;;;;;;;;;;;;
Mauritius;53;52;6;1,54;F;1;2;4;3;3;10;3;;;;;;;;;;;;
Mexico;31;124;9;1,38;PF;3;3;2;1;2;5;2;;;;;;;;;;;;
Moldova;34;115;9;1,24;PF;3;4;3;1;1;5;1;;;;;;;;;;;;
Mongolia;35;111;9;0,71;F;1;2;4;2;3;9;2;;;;;;;;;;;;
Montenegro;45;67;5;3,25;PF;4;3;2;1;2;5;2;;;;;;;;;;;;
Morocco;40;86;7;2,22;PF;5;5;1;1;1;3;1;;;;;;;;;;;;
Mozambique;25;149;9;1,60;PF;5;4;1;1;2;4;2;;;;;;;;;;;;
Myanmar;28;137;7;2,65;NF;5;6;2;1;1;4;0;;;;;;;;;;;;
Namibia;51;57;7;1,88;F;2;2;3;3;2;8;3;;;;;;;;;;;;
Nepal;33;117;6;1,35;PF;3;4;3;1;1;5;2;;;;;;;;;;;;
Netherlands;82;8;8;1,44;F;1;1;4;4;4;12;4;;;;;;;;;;;;
New Zealand;88;1;8;1,48;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Nicaragua;22;159;7;0,90;NF;6;5;1;1;1;3;1;;;;;;;;;;;;
Niger;32;123;7;1,20;PF;4;4;2;2;2;6;1;;;;;;;;;;;;
Nigeria;25;149;8;1,45;PF;4;5;2;2;2;6;2;;;;;;;;;;;;
North Korea;18;170;4;3,46;NF;7;7;0;0;0;0;0;;;;;;;;;;;;
North Macedonia;35;111;7;2,44;PF;3;3;2;2;2;6;2;;;;;;;;;;;;
Norway;84;7;7;1,26;F;1;1;4;4;4;12;4;;;;;;;;;;;;
Oman;54;49;6;7,47;NF;6;5;0;2;0;2;0;;;;;;;;;;;;
Pakistan;31;124;8;1,80;PF;5;5;1;1;3;5;1;;;;;;;;;;;;
Panama;35;111;7;0,77;F;1;2;4;2;3;9;2;;;;;;;;;;;;
Papua New Guinea;27;142;6;1,62;PF;4;3;2;0;1;3;3;;;;;;;;;;;;
Paraguay;28;137;6;2,19;PF;3;3;2;2;2;6;2;;;;;;;;;;;;
Peru;38;94;8;1,98;F;2;3;2;2;2;6;2;;;;;;;;;;;;
Philippines;34;115;9;0,92;PF;3;4;3;1;2;6;1;;;;;;;;;;;;
Poland;56;45;10;1,39;F;2;2;3;3;2;8;1;;;;;;;;;;;;
Portugal;61;33;8;1,73;F;1;1;4;3;4;11;4;;;;;;;;;;;;
Qatar;63;30;7;5,35;NF;6;5;0;2;1;3;1;;;;;;;;;;;;
Romania;44;69;10;0,89;F;2;2;4;2;3;9;3;;;;;;;;;;;;
Russia;30;129;9;1,33;NF;7;6;0;1;1;2;1;;;;;;;;;;;;
Rwanda;54;49;7;3,39;NF;6;6;1;2;1;4;0;;;;;;;;;;;;
Saint Lucia;56;45;3;4,17;F;1;1;4;3;4;11;4;;;;;;;;;;;;
Saint Vincent and the Grenadines;59;40;3;4,02;F;1;1;4;3;3;10;4;;;;;;;;;;;;
Sao Tome and Principe;47;63;4;5,06;F;2;2;4;2;3;9;3;;;;;;;;;;;;
Saudi Arabia;53;52;7;5,36;NF;7;7;0;1;0;1;1;;;;;;;;;;;;
Senegal;45;67;9;1,33;PF;3;3;3;2;3;8;2;;;;;;;;;;;;
Serbia;38;94;8;1,66;PF;4;3;2;1;2;5;2;;;;;;;;;;;;
Seychelles;66;27;4;2,97;PF;3;3;3;3;2;8;2;;;;;;;;;;;;
Sierra Leone;33;117;8;2,42;PF;3;3;3;1;3;7;2;;;;;;;;;;;;
